Wine_Quality,Fixed_Acidity,Volatile_Acidity,Citric_Acidity,Residual_Sugar,Chlorides,Free_Sulphur_Dioxide,Total_Sulphur_Dioxide,Ph,Sulfate,Alcohol
5,9.3,0.48,0.29,2.1,0.127,6,16,3.22,0.72,11.2
6,9.1,0.22,0.24,2.1,0.078,1,28,3.41,0.87,10.3
7,7.9,0.34,0.36,1.9,0.065,5,10,3.27,0.54,11.2
5,7.2,1,0,3,0.102,7,16,3.43,0.46,10
7,11.9,0.43,0.66,3.1,0.109,10,23,3.15,0.85,10.4
5,7.2,0.49,0.24,2.2,0.07,5,36,3.33,0.48,9.4
5,7.4,0.67,0.12,1.6,0.186,5,21,3.39,0.54,9.5
5,9.9,0.5,0.5,13.8,0.205,48,82,3.16,0.75,8.8
5,7.8,0.64,0,1.9,0.072,27,55,3.31,0.63,11
5,8.1,0.33,0.44,1.5,0.042,6,12,3.35,0.61,10.7
5,7,0.62,0.18,1.5,0.062,7,50,3.08,0.6,9.3
5,7.1,0.66,0,3.9,0.086,17,45,3.46,0.54,9.5
6,8.9,0.22,0.48,1.8,0.077,29,60,3.39,0.53,9.4
5,6.8,0.61,0.04,1.5,0.057,5,10,3.42,0.6,9.5
5,9.9,0.54,0.45,2.3,0.071,16,40,3.39,0.62,9.4
4,10.1,0.94,0.22,3.4,0.105,11,86,3.43,0.64,11.3
5,10.7,0.9,0.34,6.6,0.112,23,99,3.22,0.68,9.3
5,8.2,0.43,0.29,1.6,0.081,27,45,3.25,0.54,10.3
6,11.4,0.63,0.66,6.2,0.088,6,24,3.11,0.99,13.3
5,7.9,0.43,0.21,1.6,0.106,10,37,3.17,0.91,9.5
6,7.5,0.53,0.06,2.6,0.086,20,44,3.38,0.59,10.7
5,7.9,0.69,0.21,2.1,0.08,33,141,3.25,0.51,9.9
6,6.1,0.48,0.09,1.7,0.078,18,30,3.45,0.54,11.2
6,7,0.75,0.12,1.8,0.114,15,64,3.22,0.59,9.5
6,7.3,0.4,0.3,1.7,0.08,33,79,3.41,0.65,9.5
6,9.8,0.25,0.49,2.7,0.088,15,33,3.42,0.9,10
5,15.9,0.36,0.65,7.5,0.096,22,71,2.98,0.84,14.9
5,8.1,0.58,0.22,2.1,0.077,12,65,3.29,0.51,9.2
6,8,0.38,0.44,1.9,0.098,6,15,3.3,0.64,11.4
5,7.4,0.39,0.48,2,0.082,14,67,3.34,0.55,9.2
6,10.6,0.31,0.49,2.5,0.067,6,21,3.26,0.86,10.7
4,8,0.83,0.27,2,0.08,11,63,3.29,0.48,9.8
5,7.1,0.68,0,2.3,0.087,17,26,3.45,0.53,9.5
5,7.6,0.41,0.49,2,0.088,16,43,3.48,0.64,9.1
7,7.8,0.32,0.44,2.7,0.104,8,17,3.33,0.78,11
6,5.9,0.61,0.08,2.1,0.071,16,24,3.56,0.77,11.1
7,5.2,0.48,0.04,1.6,0.054,19,106,3.54,0.62,12.2
6,10.2,0.33,0.46,1.9,0.081,6,9,3.1,0.48,10.4
5,7.3,0.37,0.49,2.5,0.088,39,106,3.36,0.78,11
6,7.7,0.26,0.26,2,0.052,19,77,3.15,0.79,10.9
5,7.7,0.39,0.12,1.7,0.097,19,27,3.16,0.49,9.4
6,7.4,0.68,0.16,1.8,0.078,12,39,3.5,0.7,9.9
5,7.9,0.35,0.21,1.9,0.073,46,102,3.27,0.58,9.5
5,6.5,0.46,0.14,2.4,0.114,9,37,3.66,0.65,9.8
6,7,0.65,0.02,2.1,0.066,8,25,3.47,0.67,9.5
6,6.2,0.51,0.14,1.9,0.056,15,34,3.48,0.57,11.5
5,8.4,0.62,0.09,2.2,0.084,11,108,3.15,0.66,9.8
6,10.1,0.65,0.37,5.1,0.11,11,65,3.32,0.64,10.4
6,7.8,0.48,0.68,1.7,0.415,14,32,3.09,1.06,9.1
7,10.4,0.24,0.46,1.8,0.075,6,21,3.25,1.02,10.8
7,10.5,0.51,0.64,2.4,0.107,6,15,3.09,0.66,11.8
6,6.3,0.47,0,1.4,0.055,27,33,3.45,0.48,12.3
5,7.8,0.43,0.32,2.8,0.08,29,58,3.31,0.64,10.3
3,7.1,0.88,0.05,5.7,0.082,3,14,3.4,0.52,10.2
6,12.4,0.4,0.51,2,0.059,6,24,3.04,0.6,9.3
5,8.8,0.44,0.49,2.8,0.083,18,111,3.3,0.6,9.5
4,8.3,0.85,0.01,2.2,0.07,5,14,3.32,0.58,11
6,9,0.4,0.43,2.4,0.068,29,46,3.2,0.6,12.2
6,7.7,0.63,0.08,1.9,0.076,15,27,3.32,0.54,9.5
6,8.2,0.35,0.33,2.4,0.076,11,47,3.27,0.81,11
5,7.1,0.68,0,2.2,0.073,12,22,3.48,0.5,9.3
5,10.2,0.67,0.39,1.9,0.054,6,17,3.17,0.47,10
7,5.3,0.57,0.01,1.7,0.054,5,27,3.57,0.84,12.5
6,10,0.42,0.5,3.4,0.107,7,21,3.26,0.93,11.8
7,11.1,0.31,0.53,2.2,0.06,3,10,3.02,0.83,10.9
5,7.7,0.69,0.22,1.9,0.084,18,94,3.31,0.48,9.5
6,8.4,0.36,0.32,2.2,0.081,32,79,3.3,0.72,11
6,7.1,0.59,0.01,2.3,0.08,27,43,3.42,0.58,10.7
5,8.1,0.66,0.22,2.2,0.069,9,23,3.3,1.2,10.3
7,7.7,0.58,0.01,1.8,0.088,12,18,3.32,0.56,10.5
5,9.9,0.74,0.19,5.8,0.111,33,76,3.14,0.55,9.4
5,6.1,0.71,0.1,2.8,0.081,13,28,3.6,0.66,10.2
7,9.9,0.4,0.53,6.7,0.097,6,19,3.27,0.82,11.7
5,6.4,0.63,0.21,1.6,0.08,12,32,3.58,0.66,9.8
7,15.6,0.69,0.76,3.7,0.1,6,43,2.95,0.68,11.2
5,7,0.69,0,1.9,0.067,40,63,3.6,0.81,9.9
6,7.3,0.67,0.02,2.2,0.072,31,92,3.32,0.68,11.1
5,11,0.2,0.48,2,0.343,6,18,3.3,0.71,10.5
5,7.7,0.54,0.26,1.9,0.089,23,147,3.26,0.59,9.7
6,6.8,0.41,0.31,8.8,0.084,26,45,3.38,0.64,10.1
6,5.7,0.6,0,1.4,0.063,11,18,3.45,0.56,12.2
6,8.7,0.54,0.26,2.5,0.097,7,31,3.27,0.6,9.3
6,10.6,0.48,0.64,2.2,0.111,6,20,3.26,0.66,11.7
6,6,0.51,0,2.1,0.064,40,54,3.54,0.93,10.7
7,8,0.31,0.45,2.1,0.216,5,16,3.15,0.81,12.5
6,9.4,0.69,0.11,2.7,0.077,6,31,3.19,0.7,10.1
5,8.2,0.89,0.2,1.4,0.086,7,31,3.11,0.46,10
5,8.3,0.72,0.15,1.8,0.089,10,52,3.23,0.77,9.5
7,7,0.6,0.12,2.2,0.083,13,28,3.52,0.62,10.2
6,7.8,0.53,0.04,1.7,0.076,17,31,3.33,0.56,10
6,5.2,0.34,0,1.8,0.05,27,63,3.68,0.79,14
6,10.1,0.45,0.23,1.9,0.082,10,18,3.22,0.65,9.3
6,7.6,0.51,0.24,2.4,0.091,8,38,3.47,0.66,9.6
7,9.1,0.3,0.41,2,0.068,10,24,3.27,0.85,11.7
5,7,0.74,0.05,2,0.081,13,54,3.39,0.57,9.8
5,8.2,0.28,0.6,3,0.104,10,22,3.39,0.68,10.6
7,10.1,0.38,0.5,2.4,0.104,6,13,3.22,0.65,11.6
6,9.5,0.37,0.52,2,0.088,12,51,3.29,0.58,11.1
5,7.4,0.53,0.12,1.9,0.165,4,12,3.26,0.86,9.2
6,11.6,0.44,0.64,2.1,0.059,5,15,3.21,0.67,10.2
5,9.2,0.43,0.49,2.4,0.086,23,116,3.23,0.64,9.5
5,8.3,0.6,0.25,2.2,0.118,9,38,3.15,0.53,9.8
6,7.3,0.33,0.47,2.1,0.077,5,11,3.33,0.53,10.3
5,13,0.32,0.65,2.6,0.093,15,47,3.05,0.61,10.6
6,9.1,0.76,0.68,1.7,0.414,18,64,2.9,1.33,9.1
5,7.1,0.71,0,1.9,0.08,14,35,3.47,0.55,9.4
6,8.8,0.55,0.04,2.2,0.119,14,56,3.21,0.6,10.9
6,8,0.48,0.34,2.2,0.073,16,25,3.28,0.66,12.4
7,8.8,0.33,0.41,5.9,0.073,7,13,3.3,0.62,12.1
6,11.5,0.35,0.49,3.3,0.07,10,37,3.32,0.91,11
6,11.9,0.38,0.51,2,0.121,7,20,3.24,0.76,10.4
5,6.8,0.83,0.09,1.8,0.074,4,25,3.38,0.45,9.6
4,5.7,1.13,0.09,1.5,0.172,7,19,3.5,0.48,9.8
7,9.8,0.5,0.34,2.3,0.094,10,45,3.24,0.6,9.7
5,8.3,0.65,0.1,2.9,0.089,17,40,3.29,0.55,9.5
7,6.8,0.36,0.32,1.8,0.067,4,8,3.36,0.55,12.8
7,5.1,0.42,0,1.8,0.044,18,88,3.68,0.73,13.6
5,9.9,0.63,0.24,2.4,0.077,6,33,3.09,0.57,9.4
5,7.3,0.32,0.23,2.3,0.066,35,70,3.43,0.62,10.1
5,7.1,0.46,0.14,2.8,0.076,15,37,3.36,0.49,10.7
5,12.3,0.39,0.63,2.3,0.091,6,18,3.16,0.49,9.5
6,9.9,0.25,0.46,1.7,0.062,26,42,3.18,0.83,10.6
3,10.4,0.61,0.49,2.1,0.2,5,16,3.16,0.63,8.4
6,9.1,0.8,0,2.6,0.096,11,26,3.35,0.83,9.4
5,7.3,0.73,0.24,1.9,0.108,18,102,3.26,0.59,9.3
5,7.2,0.54,0.27,2.6,0.084,12,78,3.39,0.71,11
6,10.2,0.4,0.4,2.5,0.068,41,54,3.38,0.86,10.5
6,8.7,0.31,0.46,1.4,0.059,11,25,3.36,0.76,10.1
6,10.6,1.02,0.43,2.9,0.076,26,88,3.08,0.57,10.1
5,6.6,0.44,0.15,2.1,0.076,22,53,3.32,0.62,9.3
5,6.9,0.52,0.25,2.6,0.081,10,37,3.46,0.5,11
5,7.6,0.41,0.24,1.8,0.08,4,11,3.28,0.59,9.5
6,6.9,0.45,0.11,2.4,0.043,6,12,3.3,0.65,11.4
5,8.1,0.78,0.23,2.6,0.059,5,15,3.37,0.56,11.3
5,8.9,0.59,0.39,2.3,0.095,5,22,3.37,0.58,10.3
5,6.6,0.7,0.08,2.6,0.106,14,27,3.44,0.58,10.2
6,6.4,0.47,0.4,2.4,0.071,8,19,3.56,0.73,10.6
7,7.4,0.25,0.29,2.2,0.054,19,49,3.4,0.76,10.9
5,9.5,0.59,0.44,2.3,0.071,21,68,3.46,0.63,9.5
5,8.5,0.21,0.52,1.9,0.09,9,23,3.36,0.67,10.4
5,7.9,0.37,0.23,1.8,0.077,23,49,3.28,0.67,9.3
6,6.2,0.43,0.22,1.8,0.078,21,56,3.52,0.6,9.5
7,12.8,0.3,0.74,2.6,0.095,9,28,3.2,0.77,10.8
6,11.6,0.48,0.4,1.4,0.091,6,28,3.07,0.65,10
6,7.1,0.46,0.2,1.9,0.077,28,54,3.37,0.64,10.4
5,7.1,0.34,0.28,2,0.082,31,68,3.45,0.48,9.4
5,7.8,0.55,0.35,2.2,0.074,21,66,3.25,0.56,9.2
6,8.4,0.31,0.29,3.1,0.194,14,26,3.22,0.78,12
5,7.1,0.63,0.06,2,0.083,8,29,3.67,0.73,9.6
5,8.9,0.62,0.18,3.8,0.176,52,145,3.16,0.88,9.2
5,7.7,0.67,0,2.4,0.09,8,19,3.27,0.73,9.3
5,6.4,0.64,0.21,1.8,0.081,14,31,3.59,0.66,9.8
6,10.7,0.4,0.48,2.1,0.125,15,49,3.03,0.81,9.7
5,7.3,0.59,0.26,7.2,0.07,35,121,3.37,0.49,9.4
6,5.2,0.34,0,1.8,0.05,27,63,3.68,0.79,14
5,8.7,0.29,0.52,1.6,0.113,12,37,3.25,0.58,9.5
7,5.4,0.84,0.08,1.2,0.046,13,93,3.57,0.85,13
5,7.8,0.5,0.09,2.2,0.115,10,42,3.18,0.62,9.5
7,5.4,0.42,0.27,2,0.092,23,55,3.78,0.64,12.3
6,7.2,0.52,0.07,1.4,0.074,5,20,3.32,0.81,9.6
5,7.8,0.63,0.48,1.7,0.1,14,96,3.19,0.62,9.5
5,7.5,0.58,0.14,2.2,0.077,27,60,3.28,0.59,9.8
6,10,0.49,0.2,11,0.071,13,50,3.16,0.69,9.2
5,8.8,0.6,0.29,2.2,0.098,5,15,3.36,0.49,9.1
5,9.9,0.35,0.41,2.3,0.083,11,61,3.21,0.5,9.5
5,6,0.5,0,1.4,0.057,15,26,3.36,0.45,9.5
7,15,0.21,0.44,2.2,0.075,10,24,3.07,0.84,9.2
5,9.3,0.61,0.26,3.4,0.09,25,87,3.24,0.62,9.7
6,10.1,0.31,0.44,2.3,0.08,22,46,3.32,0.67,9.7
6,5.8,1.01,0.66,2,0.039,15,88,3.66,0.6,11.5
6,7.7,0.23,0.37,1.8,0.046,23,60,3.41,0.71,12.1
6,11.1,0.18,0.48,1.5,0.068,7,15,3.22,0.64,10.1
6,12.6,0.38,0.66,2.6,0.088,10,41,3.17,0.68,9.8
5,6.7,0.75,0.12,2,0.086,12,80,3.38,0.52,10.1
6,11.3,0.36,0.66,2.4,0.123,3,8,3.2,0.53,11.9
5,5.9,0.65,0.12,2,0.075,32,44,3.57,0.71,10.2
5,8.6,0.38,0.36,3,0.081,30,119,3.2,0.56,9.4
6,12.6,0.39,0.49,2.5,0.08,8,20,3.07,0.82,10.3
5,9,0.66,0.17,3,0.077,5,13,3.29,0.55,10.4
6,9.8,0.44,0.47,2.5,0.063,9,28,3.24,0.65,10.8
6,7.6,0.3,0.42,2,0.052,6,24,3.44,0.82,11.9
5,6.1,0.32,0.25,1.8,0.086,5,32,3.36,0.44,10.1
6,7.5,0.49,0.2,2.6,0.332,8,14,3.21,0.9,10.5
6,7.8,0.58,0.13,2.1,0.102,17,36,3.24,0.53,11.2
5,8,0.42,0.32,2.5,0.08,26,122,3.22,1.07,9.7
5,6.6,0.61,0.01,1.9,0.08,8,25,3.69,0.73,10.5
5,7.5,0.49,0.19,1.9,0.076,10,44,3.39,0.54,9.7
5,9.9,0.72,0.55,1.7,0.136,24,52,3.35,0.94,10
6,8.3,0.34,0.4,2.4,0.065,24,48,3.34,0.86,11
7,9.1,0.21,0.37,1.6,0.067,6,10,3.23,0.58,11.1
5,7.2,0.6,0.04,2.5,0.076,18,88,3.53,0.55,9.5
7,9.2,0.31,0.36,2.2,0.079,11,31,3.33,0.86,12
5,15.5,0.65,0.49,4.2,0.095,10,23,2.92,0.74,11.1
5,10.6,0.28,0.39,15.5,0.069,6,23,3.12,0.66,9.2
5,7.1,0.74,0.16,1.9,0.1,15,77,3.27,0.64,9.3
5,7.7,0.78,0.42,1.9,0.092,8,86,3.23,0.59,9.5
6,10.9,0.39,0.47,1.8,0.118,6,14,3.3,0.75,9.8
6,6.4,0.87,0.03,3.2,0.071,27,58,3.61,0.49,12.7
4,8.5,0.4,0.4,6.3,0.05,3,10,3.28,0.56,12
6,8,0.71,0.05,1.9,0.074,8,19,3.34,0.95,10.5
5,8,0.81,0.25,3.4,0.076,34,85,3.19,0.42,9.2
5,8.6,0.47,0.3,3,0.076,30,135,3.3,0.53,9.4
6,6.4,0.79,0.04,2.2,0.061,11,17,3.53,0.65,10.4
6,6.1,0.21,0.4,1.4,0.066,41,165,3.25,0.59,11.9
6,8.2,0.4,0.31,1.9,0.082,8,24,3.24,0.69,10.6
5,8,0.28,0.44,1.8,0.081,28,68,3.36,0.66,11.2
6,7.8,0.5,0.12,1.8,0.178,6,21,3.28,0.87,9.8
7,7,0.56,0.17,1.7,0.065,15,24,3.44,0.68,10.6
6,9.5,0.46,0.24,2.7,0.092,14,44,3.12,0.74,10
4,8.1,0.73,0,2.5,0.081,12,24,3.38,0.46,9.6
6,8.2,0.38,0.32,2.5,0.08,24,71,3.27,0.85,11
5,12.7,0.6,0.49,2.8,0.075,5,19,3.14,0.57,11.4
6,6.9,0.44,0,1.4,0.07,32,38,3.32,0.58,11.4
7,6.6,0.84,0.03,2.3,0.059,32,48,3.52,0.56,12.3
6,11.9,0.39,0.69,2.8,0.095,17,35,3.1,0.61,10.8
5,7,0.23,0.4,1.6,0.063,21,67,3.5,0.63,11.1
5,6.7,0.64,0.23,2.1,0.08,11,119,3.36,0.7,10.9
5,9.2,0.92,0.24,2.6,0.087,12,93,3.48,0.54,9.8
5,8.9,0.75,0.14,2.5,0.086,9,30,3.34,0.64,10.5
6,8.2,0.51,0.24,2,0.079,16,86,3.34,0.64,9.5
7,9.6,0.38,0.31,2.5,0.096,16,49,3.19,0.7,10
6,6.5,0.61,0,2.2,0.095,48,59,3.61,0.7,11.5
5,7,0.66,0.16,2.1,0.074,8,25,3.37,0.55,9.7
6,10.1,0.27,0.54,2.3,0.065,7,26,3.17,0.53,12.5
7,8.4,0.25,0.39,2,0.041,4,10,3.27,0.71,12.5
7,9.8,0.34,0.39,1.4,0.066,3,7,3.19,0.55,11.4
6,6.5,0.4,0.1,2,0.076,30,47,3.36,0.48,9.4
7,8.7,0.41,0.41,6.2,0.078,25,42,3.24,0.77,12.6
5,6.8,0.63,0.12,3.8,0.099,16,126,3.28,0.61,9.5
5,7.6,0.67,0.1,1.5,0.066,27,55,3.39,0.51,9.3
5,7.6,0.54,0.13,2.5,0.097,24,66,3.39,0.61,9.4
5,8.1,0.87,0,2.2,0.084,10,31,3.25,0.5,9.8
4,7.3,0.55,0.03,1.6,0.072,17,42,3.37,0.48,9
6,6.9,0.51,0.23,2,0.072,13,22,3.4,0.84,11.2
6,7.8,0.65,0,2,0.082,8,16,3.38,0.59,9.8
5,8.3,0.56,0.22,2.4,0.082,10,86,3.37,0.62,9.5
7,8.2,0.26,0.34,2.5,0.073,16,47,3.4,0.78,11.3
6,8.5,0.37,0.32,1.8,0.066,26,51,3.38,0.72,11.8
6,5,0.4,0.5,4.3,0.046,29,80,3.49,0.66,13.6
6,7.5,0.51,0.02,1.7,0.084,13,31,3.36,0.54,10.5
6,10.3,0.41,0.42,2.4,0.213,6,14,3.19,0.62,9.5
5,7.3,0.74,0,2.2,0.08,18,28,3.41,0.6,9.4
5,7.9,0.72,0.01,1.9,0.076,7,32,3.39,0.54,9.6
6,8,0.38,0.06,1.8,0.078,12,49,3.37,0.52,9.9
7,9.3,0.37,0.44,1.6,0.038,21,42,3.24,0.81,10.8
7,7.2,0.37,0.32,2,0.062,15,28,3.23,0.73,11.3
6,10.4,0.55,0.23,2.7,0.091,18,48,3.22,0.64,10.3
5,7.1,0.34,0.28,2,0.082,31,68,3.45,0.48,9.4
5,6.9,0.67,0.06,2.1,0.08,8,33,3.68,0.71,9.6
6,7.1,0.6,0,1.8,0.074,16,34,3.47,0.7,9.9
5,7.3,0.84,0.03,2.1,0.092,10,19,3.39,0.47,9.6
6,6.2,0.52,0.08,4.4,0.071,11,32,3.56,0.63,11.6
5,7.2,0.66,0.03,2.3,0.078,16,86,3.53,0.57,9.7
6,7.2,0.52,0.07,1.4,0.074,5,20,3.32,0.81,9.6
5,9.3,0.66,0.26,2,0.096,5,35,3.25,0.42,9.6
6,11.2,0.67,0.55,2.3,0.084,6,13,3.17,0.71,9.5
5,7.4,0.41,0.24,1.8,0.066,18,47,3.37,0.62,10.4
5,7.7,0.49,0.26,1.9,0.062,9,31,3.39,0.64,9.6
7,12,0.5,0.59,1.4,0.073,23,42,2.92,0.68,10.5
6,7.7,0.57,0.21,1.5,0.069,4,9,3.16,0.54,9.8
5,9.2,0.59,0.24,3.3,0.101,20,47,3.26,0.67,9.6
6,8.6,0.65,0.25,2,0.083,8,28,3.28,0.6,10
6,7.8,0.54,0.26,2,0.088,23,48,3.41,0.74,9.2
5,12.7,0.6,0.65,2.3,0.063,6,25,3.03,0.57,9.9
5,7.9,0.66,0,1.4,0.096,6,13,3.43,0.58,9.5
6,10.4,0.34,0.58,3.7,0.174,6,16,3.19,0.7,11.3
6,7.1,0.6,0,1.8,0.074,16,34,3.47,0.7,9.9
5,9.1,0.34,0.42,1.8,0.058,9,18,3.18,0.55,11.4
5,7.2,0.7,0.13,2,0.076,12,20,3.29,0.54,10.1
6,6.4,0.36,0.53,2.2,0.23,19,35,3.37,0.93,12.4
5,10.4,0.64,0.24,2.8,0.105,29,53,3.24,0.67,9.9
7,8.9,0.28,0.45,1.7,0.067,7,12,3.25,0.55,12.3
5,8.3,0.72,0.15,1.8,0.089,10,52,3.23,0.77,9.5
6,11.5,0.18,0.51,4,0.104,4,23,3.28,0.97,10.1
7,12.5,0.28,0.54,2.3,0.082,12,29,3.11,1.36,9.8
7,7.6,0.31,0.34,2.5,0.082,26,35,3.22,0.59,12.5
6,7.4,0.79,0.19,5.2,0.094,19,98,3.16,0.52,9.6
6,6.8,0.65,0.02,2.1,0.078,8,15,3.35,0.62,10.4
5,9,0.82,0.05,2.4,0.081,26,96,3.36,0.53,10
5,9.8,0.39,0.43,1.7,0.068,5,11,3.19,0.46,11.4
4,8.3,0.63,0.2,1.5,0.08,27,119,3.16,1.12,9.1
6,7.9,0.58,0.23,2.3,0.076,23,94,3.21,0.58,9.5
7,8.7,0.48,0.3,2.8,0.066,10,28,3.33,0.67,11.2
7,10,0.41,0.45,6.2,0.071,6,14,3.21,0.49,11.8
5,9.1,0.52,0.33,1.3,0.07,9,30,3.24,0.6,9.3
7,7.9,0.65,0.01,2.5,0.078,17,38,3.34,0.74,11.7
5,6.8,0.69,0,5.6,0.124,21,58,3.46,0.72,10.2
6,8.3,0.6,0.13,2.6,0.085,6,24,3.31,0.59,9.2
5,9.7,0.32,0.54,2.5,0.094,28,83,3.28,0.82,9.6
6,9.6,0.77,0.12,2.9,0.082,30,74,3.3,0.64,10.4
6,7.2,0.63,0,1.9,0.097,14,38,3.37,0.58,9
8,7.8,0.57,0.09,2.3,0.065,34,45,3.46,0.74,12.7
6,7.5,0.63,0.27,2,0.083,17,91,3.26,0.58,9.8
7,6.7,0.28,0.28,2.4,0.012,36,100,3.26,0.39,11.7
7,5.3,0.47,0.11,2.2,0.048,16,89,3.54,0.88,13.6
5,10.8,0.89,0.3,2.6,0.132,7,60,2.99,1.18,10.2
6,9.3,0.49,0.36,1.7,0.081,3,14,3.27,0.78,10.9
5,9.8,0.88,0.25,2.5,0.104,35,155,3.41,0.67,11.2
6,6.9,0.41,0.33,2.2,0.081,22,36,3.41,0.75,11.1
5,7.9,0.43,0.21,1.6,0.106,10,37,3.17,0.91,9.5
